"estimator","variable","estimate","stderr","convergence","setup_id","sample_id","sigma","cutoff","u_dist","x_dist"
"tsgauss","mu_x",0.0217172160876175,0.0462289329462775,0,1,14,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.02260590963067,0.0335810443169092,0,1,14,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03371036595156,0.032688791973331,0,1,14,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.17072205061408,0.0273358999496043,0,1,15,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0150643735418411,0.0428661651952351,0,1,15,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.943190352318511,0.0312210467783507,0,1,15,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.958516593112812,0.0303109560930135,0,1,15,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.198775854872128,0.0239338338759576,0,1,16,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.048542053025556,0.0477174393262263,0,1,16,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.04831539502475,0.0345741832985073,0,1,16,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.06699438045664,0.0337413249284323,0,1,16,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.198382922086586,0.0303185773660024,0,1,17,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0484493567266324,0.0462172663687064,0,1,17,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.0142297922672,0.0340137995946001,0,1,17,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03344949334642,0.0326805424572173,0,1,17,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.180887220909973,0.0323422231933837,0,1,18,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0236875808491764,0.0469855862828062,0,1,18,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03494080626912,0.0342418946168538,0,1,18,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05062964891036,0.0332238266785979,0,1,18,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.201268718823137,0.0279715472226312,0,1,19,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0268587055426651,0.044360133362264,0,1,19,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.971288638244171,0.0325199963524579,0,1,19,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.991922736889786,0.0313673511147965,0,1,19,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.226187482858621,0.0343798534818809,0,1,20,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0403655725681687,0.0484252621076168,0,1,20,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.05893447752624,0.0354092711239558,0,1,20,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.08282177900876,0.0342418312170318,0,1,20,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.18944139144967,0.0328574443305661,0,1,21,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0100969207333332,0.0476967299865316,0,1,21,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.0495718102682,0.0348263999497108,0,1,21,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.06653130554337,0.0337266812139002,0,1,21,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.178685490268772,0.0322412257553835,0,1,22,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0725273706073951,0.0444974114959116,0,1,22,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.978816280251638,0.0325902357330634,0,1,22,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.99499236927639,0.0314644214140074,0,1,22,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.181398251833715,0.0367560712223133,0,1,23,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0484656071787904,0.0451766639540971,0,1,23,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.993760613650178,0.0332221680529296,0,1,23,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01018091598025,0.0319447254333279,0,1,23,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.187467481147127,0.0271443182189028,0,1,24,0.2,1,"gauss","gauss"
